island_Dream,species_Adelie,species_Gentoo,island_Biscoe,species_Chinstrap,sex_FEMALE,sex_.,sex_MALE,culmen_length_mm,sex_NA,island_Torgersen,body_mass_g,culmen_depth_mm,flipper_length_mm
1,1,0,0,0,1,0,0,33.1,0,0,2900,16.1,178
1,1,0,0,0,0,0,1,43.2,0,0,4100,18.5,192
0,1,0,1,0,1,0,0,35,0,0,3725,17.9,192
0,1,0,1,0,0,0,1,41,0,0,4725,20,203
0,1,0,1,0,1,0,0,37.7,0,0,3075,16,183
0,1,0,1,0,0,0,1,37.8,0,0,4250,20,190
0,1,0,1,0,1,0,0,37.9,0,0,2925,18.6,193
0,1,0,1,0,0,0,1,39.7,0,0,3550,18.9,184
0,1,0,1,0,1,0,0,38.6,0,0,3750,17.2,199
0,1,0,1,0,0,0,1,38.2,0,0,3900,20,190
0,1,0,1,0,1,0,0,38.1,0,0,3175,17,181
0,1,0,1,0,0,0,1,43.2,0,0,4775,19,197
0,1,0,1,0,1,0,0,38.1,0,0,3825,16.5,198
0,1,0,1,0,0,0,1,45.6,0,0,4600,20.3,191
0,1,0,1,0,1,0,0,39.7,0,0,3200,17.7,193
0,1,0,1,0,0,0,1,42.2,0,0,4275,19.5,197
0,1,0,1,0,1,0,0,39.6,0,0,3900,20.7,191
0,1,0,1,0,0,0,1,42.7,0,0,4075,18.3,196
0,1,0,0,0,1,0,0,38.6,0,1,2900,17,188
0,1,0,0,0,0,0,1,37.3,0,1,3775,20.5,199
0,1,0,0,0,1,0,0,35.7,0,1,3350,17,189
0,1,0,0,0,0,0,1,41.1,0,1,3325,18.6,189
0,1,0,0,0,1,0,0,36.2,0,1,3150,17.2,187
0,1,0,0,0,0,0,1,37.7,0,1,3500,19.8,198
0,1,0,0,0,1,0,0,40.2,0,1,3450,17,176
0,1,0,0,0,0,0,1,41.4,0,1,3875,18.5,202
0,1,0,0,0,1,0,0,35.2,0,1,3050,15.9,186
0,1,0,0,0,0,0,1,40.6,0,1,4000,19,199
0,1,0,0,0,1,0,0,38.8,0,1,3275,17.6,191
0,1,0,0,0,0,0,1,41.5,0,1,4300,18.3,195
0,1,0,0,0,1,0,0,39,0,1,3050,17.1,191
0,1,0,0,0,0,0,1,44.1,0,1,4000,18,210
0,1,0,0,0,1,0,0,38.5,0,1,3325,17.9,190
0,1,0,0,0,0,0,1,43.1,0,1,3500,19.2,197
1,1,0,0,0,1,0,0,36.8,0,0,3500,18.5,193
1,1,0,0,0,0,0,1,37.5,0,0,4475,18.5,199
1,1,0,0,0,1,0,0,38.1,0,0,3425,17.6,187
1,1,0,0,0,0,0,1,41.1,0,0,3900,17.5,190
1,1,0,0,0,1,0,0,35.6,0,0,3175,17.5,191
1,1,0,0,0,0,0,1,40.2,0,0,3975,20.1,200
1,1,0,0,0,1,0,0,37,0,0,3400,16.5,185
1,1,0,0,0,0,0,1,39.7,0,0,4250,17.9,193
1,1,0,0,0,1,0,0,40.2,0,0,3400,17.1,193
1,1,0,0,0,0,0,1,40.6,0,0,3475,17.2,187
1,1,0,0,0,1,0,0,32.1,0,0,3050,15.5,188
1,1,0,0,0,0,0,1,40.7,0,0,3725,17,190
1,1,0,0,0,1,0,0,37.3,0,0,3000,16.8,192
1,1,0,0,0,0,0,1,39,0,0,3650,18.7,185
1,1,0,0,0,0,0,1,39.2,0,0,4250,18.6,190
1,1,0,0,0,1,0,0,36.6,0,0,3475,18.4,184
1,1,0,0,0,1,0,0,36,0,0,3450,17.8,195
1,1,0,0,0,0,0,1,37.8,0,0,3750,18.1,193
1,1,0,0,0,1,0,0,36,0,0,3700,17.1,187
1,1,0,0,0,0,0,1,41.5,0,0,4000,18.5,201
1,0,0,0,1,1,0,0,46.5,0,0,3500,17.9,192
1,0,0,0,1,0,0,1,50,0,0,3900,19.5,196
1,0,0,0,1,0,0,1,51.3,0,0,3650,19.2,193
1,0,0,0,1,1,0,0,45.4,0,0,3525,18.7,188
1,0,0,0,1,0,0,1,52.7,0,0,3725,19.8,197
1,0,0,0,1,1,0,0,45.2,0,0,3950,17.8,198
1,0,0,0,1,1,0,0,46.1,0,0,3250,18.2,178
1,0,0,0,1,0,0,1,51.3,0,0,3750,18.2,197
1,0,0,0,1,1,0,0,46,0,0,4150,18.9,195
1,0,0,0,1,0,0,1,51.3,0,0,3700,19.9,198
1,0,0,0,1,1,0,0,46.6,0,0,3800,17.8,193
1,0,0,0,1,0,0,1,51.7,0,0,3775,20.3,194
1,0,0,0,1,1,0,0,47,0,0,3700,17.3,185
1,0,0,0,1,0,0,1,52,0,0,4050,18.1,201
1,0,0,0,1,1,0,0,45.9,0,0,3575,17.1,190
1,0,0,0,1,0,0,1,50.5,0,0,4050,19.6,201
1,0,0,0,1,0,0,1,50.3,0,0,3300,20,197
1,0,0,0,1,1,0,0,58,0,0,3700,17.8,181
1,0,0,0,1,1,0,0,46.4,0,0,3450,18.6,190
1,0,0,0,1,0,0,1,49.2,0,0,4400,18.2,195
1,0,0,0,1,1,0,0,42.4,0,0,3600,17.3,181
1,0,0,0,1,0,0,1,48.5,0,0,3400,17.5,191
1,0,0,0,1,1,0,0,43.2,0,0,2900,16.6,187
1,0,0,0,1,0,0,1,50.6,0,0,3800,19.4,193
1,0,0,0,1,1,0,0,46.7,0,0,3300,17.9,195
1,0,0,0,1,0,0,1,52,0,0,4150,19,197
1,0,0,0,1,1,0,0,50.5,0,0,3400,18.4,200
1,0,0,0,1,0,0,1,49.5,0,0,3800,19,200
1,0,0,0,1,1,0,0,46.4,0,0,3700,17.8,191
1,0,0,0,1,0,0,1,52.8,0,0,4550,20,205
1,0,0,0,1,1,0,0,40.9,0,0,3200,16.6,187
1,0,0,0,1,0,0,1,54.2,0,0,4300,20.8,201
1,0,0,0,1,1,0,0,42.5,0,0,3350,16.7,187
1,0,0,0,1,0,0,1,51,0,0,4100,18.8,203
1,0,0,0,1,0,0,1,49.7,0,0,3600,18.6,195
1,0,0,0,1,1,0,0,47.5,0,0,3900,16.8,199
1,0,0,0,1,1,0,0,47.6,0,0,3850,18.3,195
1,0,0,0,1,0,0,1,52,0,0,4800,20.7,210
1,0,0,0,1,1,0,0,46.9,0,0,2700,16.6,192
1,0,0,0,1,0,0,1,53.5,0,0,4500,19.9,205
1,0,0,0,1,0,0,1,49,0,0,3950,19.5,210
1,0,0,0,1,1,0,0,46.2,0,0,3650,17.5,187
1,0,0,0,1,0,0,1,50.9,0,0,3550,19.1,196
1,0,0,0,1,1,0,0,45.5,0,0,3500,17,196
1,0,0,0,1,1,0,0,50.9,0,0,3675,17.9,196
1,0,0,0,1,0,0,1,50.8,0,0,4450,18.5,201
1,0,0,0,1,1,0,0,50.1,0,0,3400,17.9,190
1,0,0,0,1,0,0,1,49,0,0,4300,19.6,212
1,0,0,0,1,0,0,1,51.5,0,0,3250,18.7,187
1,0,0,0,1,1,0,0,49.8,0,0,3675,17.3,198
1,0,0,0,1,1,0,0,48.1,0,0,3325,16.4,199
1,0,0,0,1,0,0,1,51.4,0,0,3950,19,201
1,0,0,0,1,1,0,0,45.7,0,0,3600,17.3,193
1,0,0,0,1,0,0,1,50.7,0,0,4050,19.7,203
1,0,0,0,1,1,0,0,42.5,0,0,3350,17.3,187
1,0,0,0,1,0,0,1,52.2,0,0,3450,18.8,197
1,0,0,0,1,1,0,0,45.2,0,0,3250,16.6,191
1,0,0,0,1,0,0,1,49.3,0,0,4050,19.9,203
1,0,0,0,1,0,0,1,50.2,0,0,3800,18.8,202
1,0,0,0,1,1,0,0,45.6,0,0,3525,19.4,194
1,0,0,0,1,0,0,1,51.9,0,0,3950,19.5,206
1,0,0,0,1,1,0,0,46.8,0,0,3650,16.5,189
1,0,0,0,1,1,0,0,45.7,0,0,3650,17,195
1,0,0,0,1,0,0,1,55.8,0,0,4000,19.8,207
1,0,0,0,1,1,0,0,43.5,0,0,3400,18.1,202
1,0,0,0,1,0,0,1,49.6,0,0,3775,18.2,193
1,0,0,0,1,0,0,1,50.8,0,0,4100,19,210
1,0,0,0,1,1,0,0,50.2,0,0,3775,18.7,198
0,0,1,1,0,1,0,0,46.1,0,0,4500,13.2,211
0,0,1,1,0,0,0,1,50,0,0,5700,16.3,230
0,0,1,1,0,1,0,0,48.7,0,0,4450,14.1,210
0,0,1,1,0,0,0,1,50,0,0,5700,15.2,218
0,0,1,1,0,0,0,1,47.6,0,0,5400,14.5,215
0,0,1,1,0,1,0,0,46.5,0,0,4550,13.5,210
0,0,1,1,0,1,0,0,45.4,0,0,4800,14.6,211
0,0,1,1,0,0,0,1,46.7,0,0,5200,15.3,219
0,0,1,1,0,1,0,0,43.3,0,0,4400,13.4,209
0,0,1,1,0,0,0,1,46.8,0,0,5150,15.4,215
0,0,1,1,0,1,0,0,40.9,0,0,4650,13.7,214
0,0,1,1,0,0,0,1,49,0,0,5550,16.1,216
0,0,1,1,0,1,0,0,45.5,0,0,4650,13.7,214
0,0,1,1,0,0,0,1,48.4,0,0,5850,14.6,213
0,0,1,1,0,1,0,0,45.8,0,0,4200,14.6,210
0,0,1,1,0,0,0,1,49.3,0,0,5850,15.7,217
0,0,1,1,0,1,0,0,42,0,0,4150,13.5,210
0,0,1,1,0,0,0,1,49.2,0,0,6300,15.2,221
0,0,1,1,0,1,0,0,46.2,0,0,4800,14.5,209
0,0,1,1,0,0,0,1,48.7,0,0,5350,15.1,222
0,0,1,1,0,0,0,1,50.2,0,0,5700,14.3,218
0,0,1,1,0,1,0,0,45.1,0,0,5000,14.5,215
0,0,1,1,0,1,0,0,46.5,0,0,4400,14.5,213
0,0,1,1,0,0,0,1,46.3,0,0,5050,15.8,215
0,0,1,1,0,1,0,0,42.9,0,0,5000,13.1,215
0,0,1,1,0,0,0,1,46.1,0,0,5100,15.1,215
0,0,1,1,0,0,0,0,44.5,1,0,4100,14.3,216
0,0,1,1,0,0,0,1,47.8,0,0,5650,15,215
0,0,1,1,0,1,0,0,48.2,0,0,4600,14.3,210
0,0,1,1,0,0,0,1,50,0,0,5550,15.3,220
0,0,1,1,0,0,0,1,47.3,0,0,5250,15.3,222
0,0,1,1,0,1,0,0,42.8,0,0,4700,14.2,209
0,0,1,1,0,1,0,0,45.1,0,0,5050,14.5,207
0,0,1,1,0,0,0,1,59.6,0,0,6050,17,230
0,0,1,1,0,1,0,0,49.1,0,0,5150,14.8,220
0,0,1,1,0,0,0,1,48.4,0,0,5400,16.3,220
0,0,1,1,0,1,0,0,42.6,0,0,4950,13.7,213
0,0,1,1,0,0,0,1,44.4,0,0,5250,17.3,219
0,0,1,1,0,1,0,0,44,0,0,4350,13.6,208
0,0,1,1,0,0,0,1,48.7,0,0,5350,15.7,208
0,0,1,1,0,1,0,0,42.7,0,0,3950,13.7,208
0,0,1,1,0,0,0,1,49.6,0,0,5700,16,225
0,0,1,1,0,1,0,0,45.3,0,0,4300,13.7,210
0,0,1,1,0,0,0,1,49.6,0,0,4750,15,216
0,0,1,1,0,0,0,1,50.5,0,0,5550,15.9,222
0,0,1,1,0,1,0,0,43.6,0,0,4900,13.9,217
0,0,1,1,0,1,0,0,45.5,0,0,4200,13.9,210
0,0,1,1,0,0,0,1,50.5,0,0,5400,15.9,225
0,0,1,1,0,1,0,0,44.9,0,0,5100,13.3,213
0,0,1,1,0,0,0,1,45.2,0,0,5300,15.8,215
0,0,1,1,0,1,0,0,46.6,0,0,4850,14.2,210
0,0,1,1,0,0,0,1,48.5,0,0,5300,14.1,220
0,0,1,1,0,1,0,0,45.1,0,0,4400,14.4,210
0,0,1,1,0,0,0,1,50.1,0,0,5000,15,225
0,0,1,1,0,1,0,0,46.5,0,0,4900,14.4,217
0,0,1,1,0,0,0,1,45,0,0,5050,15.4,220
0,0,1,1,0,1,0,0,43.8,0,0,4300,13.9,208
0,0,1,1,0,0,0,1,45.5,0,0,5000,15,220
0,0,1,1,0,1,0,0,43.2,0,0,4450,14.5,208
0,0,1,1,0,0,0,1,50.4,0,0,5550,15.3,224
0,0,1,1,0,1,0,0,45.3,0,0,4200,13.8,208
0,0,1,1,0,0,0,1,46.2,0,0,5300,14.9,221
0,0,1,1,0,1,0,0,45.7,0,0,4400,13.9,214
0,0,1,1,0,0,0,1,54.3,0,0,5650,15.7,231
0,0,1,1,0,1,0,0,45.8,0,0,4700,14.2,219
0,0,1,1,0,0,0,1,49.8,0,0,5700,16.8,230
0,0,1,1,0,0,0,0,46.2,1,0,4650,14.4,214
0,0,1,1,0,0,0,1,49.5,0,0,5800,16.2,229
0,0,1,1,0,1,0,0,43.5,0,0,4700,14.2,220
0,0,1,1,0,0,0,1,50.7,0,0,5550,15,223
0,0,1,1,0,1,0,0,47.7,0,0,4750,15,216
0,0,1,1,0,0,0,1,46.4,0,0,5000,15.6,221
0,0,1,1,0,0,0,1,48.2,0,0,5100,15.6,221
0,0,1,1,0,1,0,0,46.5,0,0,5200,14.8,217
0,0,1,1,0,1,0,0,46.4,0,0,4700,15,216
0,0,1,1,0,0,0,1,48.6,0,0,5800,16,230
0,0,1,1,0,1,0,0,47.5,0,0,4600,14.2,209
0,0,1,1,0,0,0,1,51.1,0,0,6000,16.3,220
0,0,1,1,0,1,0,0,45.2,0,0,4750,13.8,215
0,0,1,1,0,0,0,1,45.2,0,0,5950,16.4,223
0,0,1,1,0,1,0,0,49.1,0,0,4625,14.5,212
0,0,1,1,0,0,0,1,52.5,0,0,5450,15.6,221
0,0,1,1,0,1,0,0,47.4,0,0,4725,14.6,212
0,0,1,1,0,0,0,1,50,0,0,5350,15.9,224
0,0,1,1,0,1,0,0,44.9,0,0,4750,13.8,212
0,0,1,1,0,0,0,1,50.8,0,0,5600,17.3,228
0,0,1,1,0,1,0,0,43.4,0,0,4600,14.4,218
0,0,1,1,0,0,0,1,51.3,0,0,5300,14.2,218
0,0,1,1,0,1,0,0,47.5,0,0,4875,14,212
0,0,1,1,0,0,0,1,52.1,0,0,5550,17,230
0,0,1,1,0,1,0,0,47.5,0,0,4950,15,218
0,0,1,1,0,0,0,1,52.2,0,0,5400,17.1,228
0,0,1,1,0,1,0,0,45.5,0,0,4750,14.5,212
0,0,1,1,0,0,0,1,49.5,0,0,5650,16.1,224
0,0,1,1,0,1,0,0,44.5,0,0,4850,14.7,214
0,0,1,1,0,0,0,1,50.8,0,0,5200,15.7,226
0,0,1,1,0,0,0,1,49.4,0,0,4925,15.8,216
0,0,1,1,0,1,0,0,46.9,0,0,4875,14.6,222
0,0,1,1,0,1,0,0,48.4,0,0,4625,14.4,203
0,0,1,1,0,0,0,1,51.1,0,0,5250,16.5,225
0,0,1,1,0,1,0,0,48.5,0,0,4850,15,219
0,0,1,1,0,0,0,1,55.9,0,0,5600,17,228
0,0,1,1,0,1,0,0,47.2,0,0,4975,15.5,215
0,0,1,1,0,0,0,1,49.1,0,0,5500,15,228
0,0,1,1,0,0,0,0,47.3,1,0,4725,13.8,216
0,0,1,1,0,0,0,1,46.8,0,0,5500,16.1,215
0,0,1,1,0,1,0,0,41.7,0,0,4700,14.7,210
0,0,1,1,0,0,0,1,53.4,0,0,5500,15.8,219
0,0,1,1,0,1,0,0,43.3,0,0,4575,14,208
0,0,1,1,0,0,0,1,48.1,0,0,5500,15.1,209
0,0,1,1,0,1,0,0,50.5,0,0,5000,15.2,216
0,0,1,1,0,0,0,1,49.8,0,0,5950,15.9,229
0,0,1,1,0,1,0,0,43.5,0,0,4650,15.2,213
0,0,1,1,0,0,0,1,51.5,0,0,5500,16.3,230
0,0,1,1,0,1,0,0,46.2,0,0,4375,14.1,217
0,0,1,1,0,0,0,1,55.1,0,0,5850,16,230
0,0,1,1,0,0,1,0,44.5,0,0,4875,15.7,217
0,0,1,1,0,0,0,1,48.8,0,0,6000,16.2,222
0,0,1,1,0,1,0,0,47.2,0,0,4925,13.7,214
0,0,1,1,0,0,0,0,NA,1,0,NA,NA,NA
0,0,1,1,0,1,0,0,46.8,0,0,4850,14.3,215
0,0,1,1,0,0,0,1,50.4,0,0,5750,15.7,222
0,0,1,1,0,1,0,0,45.2,0,0,5200,14.8,212
0,0,1,1,0,0,0,1,49.9,0,0,5400,16.1,213
